"agegroup","group","ID","participant","active_bool","localizationshift_deg","localizationshift_sd"
"cntrl","handview","bz_3257",204,0,-23.5689951394799,4.54010147033464
"cntrl","handview","bz_3257",204,1,-19.1239122901393,4.60512531234735
"cntrl","handview","bk_3242",205,0,1.90542637057803,3.52184730634179
"cntrl","handview","bk_3242",205,1,1.38255828903613,3.56427652020179
"cntrl","handview","bh_3239",206,0,1.6659369323219,2.7550823668556
"cntrl","handview","bh_3239",206,1,-0.609480658328369,1.73026532245875
"cntrl","handview","bc_3234",207,0,1.35219316168548,2.15959988635183
"cntrl","handview","bc_3234",207,1,-0.873789266395538,1.12262560637939
"cntrl","handview","bn_3245",208,0,0.0870336190577888,5.3368956162234
"cntrl","handview","bn_3245",208,1,-2.95483832507641,1.95702556120086
