group,version,participant,age,corrected_vision,sex,right_handed,height_cm,awareness
org30explicit,ie,ji_0216,21,Y,F,Y,160,3
org30explicit,ei,pa_0216,20,N,F,Y,163,1
org30implicit,ie,mp_0216,19,Y,F,Y,180,2
org30implicit,ei,ae_0225,32,Y,F,Y,153,1
org30explicit,ie,ma_0301,19,Y,M,Y,88,1
org30explicit,ei,am_0301,22,Y,F,Y,164,1
org30implicit,ie,sh_0403,24,Y,M,Y,170,3
org30explicit,ie,sn_0308,23,Y,F,Y,116,3
handview,IE,bb_3233,20,Y,F,Y,165,3
handview,EI,bc_3234,24,Y,M,Y,171,3
handview,IE,bd_3235,18,Y,F,Y,176,0
handview,IE,be_3236,20,N,F,Y,175,3
handview,EI,bf_3237,21,N,M,Y,182,3
handview,IE,bg_3238,18,N,F,Y,159,3
handview,EI,bh_3239,20,Y,F,Y,158,3
handview,IE,bi_3240,17,N,F,Y,154,3
handview,EI,bj_3241,30,Y,F,Y,176,1
handview,IE,bk_3242,19,Y,F,Y,149,3
handview,EI,bl_3243,19,N,F,Y,160,3
handview,IE,bm_3244,21,Y,F,Y,175,3
handview,EI,bn_3245,18,N,F,Y,152,3
handview,IE,bo_3246,23,N,F,Y,161,1
handview,EI,bp_3247,18,N,M,Y,179,3
handview,IE,bq_3248,17,N,F,Y,162,3
handview,EI,br_3249,19,N,F,Y,162,3
handview,IE,bs_3250,19,Y,F,Y,173,3
handview,EI,bt_3251,19,N,F,Y,167,3
handview,IE,bu_3252,18,N,F,Y,180,3
handview,EI,bv_3253,20,N,F,Y,165,3
handview,IE,bw_3254,18,N,F,Y,179,3
handview,EI,bx_3255,18,N,F,Y,168,3
handview,IE,by_3256,18,N,F,Y,168,0
handview,EI,bz_3257,33,N,F,Y,161,3
handview,IE,ca_3259,18,Y,M,Y,199,3
handview,EI,cb_3260,17,N,F,Y,156,3
handview,EI,cc_3261,18,N,M,Y,186,3
handview,EI,rg_0410,23,N,M,Y,172,3
sEDS,IE,s01,29,,M,Y,NA,NA
sEDS,IE,s04,44,,F,Y,NA,NA
sEDS,EI,s06,27,,F,Y,NA,NA
sEDS,IE,s07,40,,F,Y,NA,NA
sEDS,IE,s08,41,,M,Y,NA,NA
sEDS,EI,s10,32,,F,Y,NA,NA
sEDS,EI,s11,34,,F,Y,NA,NA
sEDS,EI,s13,31,,F,Y,NA,NA
sEDS,EI,s18,54,,F,Y,NA,NA
sEDS,EI,s19,18,,F,Y,NA,NA
sEDS,IE,s20,35,,F,Y,NA,NA
sEDS,IE,s42,26,,F,Y,NA,NA
sEDS,EI,s43,35,,F,Y,NA,NA
sEDS,EI,s44,30,,F,Y,NA,NA
sEDS,EI,s45,34,,M,Y,NA,NA
sEDS,EI,s46,33,,F,Y,NA,NA
